frog_number,treatment,vaccine_status,vaccine_strain,livebd_strain,mortality_day,mortality_status
1,ASW-CA,NO,ASW,CA,41,0
2,ASW-CA,NO,ASW,CA,41,0
3,ASW-CA,NO,ASW,CA,41,0
4,ASW-CA,NO,ASW,CA,41,0
5,ASW-CA,NO,ASW,CA,41,1
6,ASW-CA,NO,ASW,CA,41,0
7,ASW-CA,NO,ASW,CA,41,0
8,ASW-CA,NO,ASW,CA,41,0
9,ASW-Panama,NO,ASW,Panama,41,0
10,ASW-Panama,NO,ASW,Panama,28,1
11,ASW-Panama,NO,ASW,Panama,41,0
12,ASW-Panama,NO,ASW,Panama,41,0
13,ASW-Panama,NO,ASW,Panama,41,0
14,ASW-Panama,NO,ASW,Panama,41,0
15,ASW-Panama,NO,ASW,Panama,41,0
16,ASW-Panama,NO,ASW,Panama,41,0
17,ASW-Panama,NO,ASW,Panama,38,1
18,ASW-CA,NO,ASW,CA,41,0
19,ASW-Panama,NO,ASW,Panama,41,0
20,ASW-CA,NO,ASW,CA,41,0
21,ASW-Panama,NO,ASW,Panama,41,0
22,ASW-CA,NO,ASW,CA,41,0
23,CA*-CA,YES,CA,CA,32,1
24,CA*-Panama,YES,CA,Panama,41,0
25,Panama*-Panama,YES,Panama,Panama,41,0
26,Panama*-CA,YES,Panama,CA,41,0
27,CA*-CA,YES,CA,CA,41,0
28,CA*-Panama,YES,CA,Panama,41,0
29,Panama*-Panama,YES,Panama,Panama,41,0
30,Panama*-CA,YES,Panama,CA,41,0
31,CA*-CA,YES,CA,CA,41,0
32,CA*-Panama,YES,CA,Panama,41,0
33,Panama*-Panama,YES,Panama,Panama,41,0
34,Panama*-CA,YES,Panama,CA,41,0
35,CA*-CA,YES,CA,CA,41,0
36,CA*-Panama,YES,CA,Panama,18,1
37,Panama*-Panama,YES,Panama,Panama,41,0
38,Panama*-CA,YES,Panama,CA,41,0
39,CA*-CA,YES,CA,CA,41,0
40,ASW-CA,NO,ASW,CA,41,0
41,ASW-Panama,NO,ASW,Panama,41,0
42,CA*-CA,YES,CA,CA,41,0
43,CA*-Panama,YES,CA,Panama,41,0
44,Panama*-Panama,YES,Panama,Panama,41,0
45,Panama*-CA,YES,Panama,CA,41,0
46,CA*-Panama,YES,CA,Panama,41,0
47,ASW-CA,NO,ASW,CA,41,0
48,ASW-Panama,NO,ASW,Panama,41,0
49,ASW-CA,NO,ASW,CA,41,0
50,ASW-Panama,NO,ASW,Panama,41,0
51,CA*-CA,YES,CA,CA,41,0
52,CA*-Panama,YES,CA,Panama,41,0
53,Panama*-Panama,YES,Panama,Panama,41,0
54,Panama*-CA,YES,Panama,CA,41,0
55,CA*-CA,YES,CA,CA,41,0
56,CA*-Panama,YES,CA,Panama,41,0
57,Panama*-Panama,YES,Panama,Panama,30,1
58,Panama*-CA,YES,Panama,CA,41,0
59,CA*-CA,YES,CA,CA,41,0
60,CA*-Panama,YES,CA,Panama,41,0
61,Panama*-Panama,YES,Panama,Panama,41,0
62,Panama*-CA,YES,Panama,CA,25,1
63,CA*-CA,YES,CA,CA,41,0
64,CA*-Panama,YES,CA,Panama,41,0
65,Panama*-Panama,YES,Panama,Panama,41,0
66,Panama*-CA,YES,Panama,CA,41,0
67,CA*-CA,YES,CA,CA,41,0
68,CA*-Panama,YES,CA,Panama,41,0
69,Panama*-Panama,YES,Panama,Panama,41,0
70,Panama*-CA,YES,Panama,CA,41,0
71,CA*-CA,YES,CA,CA,41,0
72,CA*-Panama,YES,CA,Panama,41,0
74,Panama*-CA,YES,Panama,CA,41,0
75,CA*-CA,YES,CA,CA,39,1
76,CA*-Panama,YES,CA,Panama,41,0
77,Panama*-Panama,YES,Panama,Panama,41,0
78,Panama*-CA,YES,Panama,CA,41,0
79,Panama*-Panama,YES,Panama,Panama,41,0
80,Panama*-CA,YES,Panama,CA,41,0
81,Panama*-CA,YES,Panama,CA,15,1
82,ASW-CA,NO,ASW,CA,41,0
83,ASW-Panama,NO,ASW,Panama,41,0
84,CA*-CA,YES,CA,CA,41,0
85,CA*-Panama,YES,CA,Panama,41,0
87,Panama*-CA,YES,Panama,CA,41,0
88,CA*-CA,YES,CA,CA,41,0
89,ASW-CA,NO,ASW,CA,41,0
90,ASW-Panama,NO,ASW,Panama,41,0
91,CA*-CA,YES,CA,CA,41,0
92,CA*-Panama,YES,CA,Panama,41,0
93,Panama*-Panama,YES,Panama,Panama,41,0
94,Panama*-CA,YES,Panama,CA,41,0
95,CA*-Panama,YES,CA,Panama,41,0
96,Panama*-Panama,YES,Panama,Panama,41,1
